question,ground_truth,redis_key,source,corpus_chunk_index,hybrid_rrf_hit@10,hybrid_rrf_gold_rank_in_topk,hybrid_rrf_retrieved_redis_keys,dense_top10_redis_keys,bm25_top10_redis_keys
曲唑酮在治疗伴轻度抑郁焦虑情绪的失眠患者时，推荐的起始剂量是多少？,中青年患者推荐起始剂量为25～50mg，老年患者则从25mg起始。,qwen3:1586,医脉通精神科,1586,1,2,qwen3:1468|qwen3:1586|qwen3:1587|qwen3:1467|qwen3:1470|qwen3:1585|qwen3:1469|qwen3:1737|qwen3:2342|qwen3:1754,qwen3:1468|qwen3:1586|qwen3:1587|qwen3:1470|qwen3:1467|qwen3:1585|qwen3:1469|qwen3:2342|qwen3:2736|qwen3:420,qwen3:1468|qwen3:1586|qwen3:1467|qwen3:1585|qwen3:1587|qwen3:1470|qwen3:1737|qwen3:1754|qwen3:1752|qwen3:2548
可乐定与米氮平合用时需要注意什么？,米氮平会减弱可乐定的降压作用，应避免合用；若必须合用，需在米氮平启用、调整剂量或停药时监测可乐定的降压效果。,qwen3:728,临床用药评价,728,1,2,qwen3:2542|qwen3:728|qwen3:716|qwen3:717|qwen3:2543|qwen3:729|qwen3:2541|qwen3:715|qwen3:727|qwen3:2744,qwen3:728|qwen3:2542|qwen3:716|qwen3:2744|qwen3:2543|qwen3:717|qwen3:729|qwen3:2541|qwen3:727|qwen3:715,qwen3:2542|qwen3:716|qwen3:728|qwen3:717|qwen3:729|qwen3:2543|qwen3:2541|qwen3:715|qwen3:727|qwen3:1832
洛哌丁胺高剂量使用可能导致哪些心脏相关不良反应？,高剂量使用洛哌丁胺可能导致QT间期延长、尖端扭转型室性心动过速、室性心律失常、心跳停止甚至死亡。非临床数据显示其可能通过抑制hERG钾通道和钠通道，引起心律失常和心脏传导减慢。,qwen3:2556,药圈网,2556,1,1,qwen3:2556|qwen3:2557|qwen3:2555|qwen3:559|qwen3:2067|qwen3:1864|qwen3:2066|qwen3:724|qwen3:1506|qwen3:346,qwen3:2556|qwen3:2557|qwen3:2555|qwen3:559|qwen3:1864|qwen3:724|qwen3:346|qwen3:713|qwen3:2539|qwen3:573,qwen3:2556|qwen3:2557|qwen3:2555|qwen3:2067|qwen3:2066|qwen3:1506|qwen3:834|qwen3:835|qwen3:2544|qwen3:1680
邻近连接测定（PLA）方法如何检测蛋白质相互作用？,在PLA方法中，两个初级抗体分别结合到目标蛋白上，带有特定DNA序列的次级抗体再结合到初级抗体上；当两个蛋白相互作用时，次级抗体上的DNA序列靠近并连接，启动DNA复制，复制产物通过荧光核苷酸和荧光显微镜检测，从而证实蛋白质间的相互作用。,qwen3:2251,生物制品圈,2251,1,1,qwen3:2251|qwen3:2249|qwen3:2250|qwen3:42|qwen3:2723|qwen3:2256|qwen3:41|qwen3:34|qwen3:2248|qwen3:2080,qwen3:2251|qwen3:2250|qwen3:2723|qwen3:2256|qwen3:2249|qwen3:2248|qwen3:2253|qwen3:2870|qwen3:2252|qwen3:2312,qwen3:2251|qwen3:42|qwen3:2249|qwen3:41|qwen3:34|qwen3:2080|qwen3:69|qwen3:2083|qwen3:2250|qwen3:2082
多替拉韦（DTG）与哪些药物合用可能会影响其疗效？,多替拉韦（DTG）是UGT1A1、UGT1A3、UGT1A9、CYP3A4、P-gp和BCRP的底物，因此诱导这些酶或转运蛋白的药物理论上可降低DTG的血浆浓度，从而降低其疗效。,qwen3:2021,李辉时空,2021,1,2,qwen3:1729|qwen3:2021|qwen3:1965|qwen3:2030|qwen3:408|qwen3:2476|qwen3:1730|qwen3:2052|qwen3:1966|qwen3:582,qwen3:1729|qwen3:1965|qwen3:408|qwen3:1730|qwen3:1966|qwen3:1969|qwen3:2992|qwen3:1971|qwen3:419|qwen3:1027,qwen3:2021|qwen3:2030|qwen3:2476|qwen3:2052|qwen3:582|qwen3:1729|qwen3:2051|qwen3:2288|qwen3:33|qwen3:1680
服用单胺氧化酶抑制剂（MAOIs）期间为什么需要避免食用牛肝、陈年香肠、奶酪和含酪胺的酒类？,因为这些食物含有酪胺，而MAOIs会抑制单胺氧化酶（MAO），导致酪胺无法被正常降解，可能引发威胁生命的交感神经兴奋危象。,qwen3:1570,医脉通精神科,1570,1,1,qwen3:1570|qwen3:1686|qwen3:3146|qwen3:1838|qwen3:1329|qwen3:1569|qwen3:1835|qwen3:1567|qwen3:1568|qwen3:2257,qwen3:3146|qwen3:1329|qwen3:1835|qwen3:1568|qwen3:1655|qwen3:793|qwen3:1570|qwen3:3149|qwen3:1686|qwen3:2207,qwen3:1838|qwen3:1569|qwen3:1567|qwen3:2257|qwen3:1570|qwen3:309|qwen3:1686|qwen3:1291|qwen3:2142|qwen3:1292
复方陈香胃片不能和哪些药物一起服用？,复方陈香胃片不宜与酸性药物（如维生素C、胃蛋白酶片、阿司匹林等）、酮康唑、奎尼丁以及四环素类、喹诺酮类、异烟肼等药物合用，因其可能引起酸碱中和、降低药效或增加毒性。,qwen3:1791,宁夏科普作家协会,1791,1,1,qwen3:1791|qwen3:1666|qwen3:1665|qwen3:2116|qwen3:2218|qwen3:2136|qwen3:1626|qwen3:819|qwen3:1973|qwen3:863,qwen3:1791|qwen3:1665|qwen3:1666|qwen3:2218|qwen3:1626|qwen3:1973|qwen3:2217|qwen3:910|qwen3:2908|qwen3:418,qwen3:1791|qwen3:1666|qwen3:2116|qwen3:2136|qwen3:819|qwen3:863|qwen3:862|qwen3:1756|qwen3:501|qwen3:569
在MDIPA方法中，如何评估microRNA-药物相互作用预测的性能？,MDIPA采用独立数据集评估和交叉验证两种策略。在独立数据集评估中，通过比较正样本（已知相互作用）和负样本（无相互作用）的预测得分来衡量性能，理想情况下正样本得分接近1，负样本接近0。,qwen3:97,DrugAI,97,1,5,qwen3:94|qwen3:98|qwen3:99|qwen3:95|qwen3:97|qwen3:226|qwen3:24|qwen3:2226|qwen3:29|qwen3:2081,qwen3:94|qwen3:98|qwen3:99|qwen3:95|qwen3:24|qwen3:226|qwen3:97|qwen3:29|qwen3:224|qwen3:78,qwen3:98|qwen3:94|qwen3:97|qwen3:95|qwen3:99|qwen3:2226|qwen3:226|qwen3:2081|qwen3:92|qwen3:77
Brenda数据库主要存储什么类型的信息？,"Brenda是一个综合性酶数据库，包含约84,000个酶及其相应的酶-配体相关信息，所有数据基于国际生物化学和分子生物学联盟的酶委员会(EC)分类系统，从约140,000篇文献中人工评估和提取。其中与酶催化反应相关的化合物（如底物、产物、活化剂、抑制剂和辅因子）被标记为“配体”，共约205,000个。",qwen3:2238,生物信息云,2238,1,1,qwen3:2238|qwen3:2240|qwen3:2241|qwen3:2237|qwen3:2239|qwen3:2236|qwen3:2233|qwen3:2235|qwen3:2232|qwen3:47,qwen3:2238|qwen3:2240|qwen3:2241|qwen3:2239|qwen3:2235|qwen3:2236|qwen3:2237|qwen3:2233|qwen3:2080|qwen3:2079,qwen3:2238|qwen3:2237|qwen3:2241|qwen3:2240|qwen3:2236|qwen3:2239|qwen3:2232|qwen3:47|qwen3:2233|qwen3:2189
该片段是否提供了可用于临床决策的明确医学建议？,该片段未提供明确医学建议，仅提示相关各方在采用或以此作为决策依据时需另行核查。,qwen3:1374,医学界心血管频道,1374,0,0,qwen3:1534|qwen3:1981|qwen3:1385|qwen3:1088|qwen3:1398|qwen3:2252|qwen3:301|qwen3:2955|qwen3:1375|qwen3:2188,qwen3:1534|qwen3:1385|qwen3:1398|qwen3:301|qwen3:1375|qwen3:1710|qwen3:429|qwen3:2400|qwen3:706|qwen3:2961,qwen3:1981|qwen3:1088|qwen3:2252|qwen3:2955|qwen3:2188|qwen3:122|qwen3:135|qwen3:3094|qwen3:977|qwen3:1793
β-内酰胺类抗菌药物与氨基糖苷类药物合用时需要注意什么？,β-内酰胺类抗菌药物与氨基糖苷类（尤其是庆大霉素、妥布霉素）在同一容器内滴注或注射时，前者可使后者失活；此外，第一代头孢菌素与氨基糖苷类合用可能增加肾毒性。,qwen3:1339,医学推荐,1339,0,0,qwen3:1431|qwen3:2589|qwen3:2107|qwen3:732|qwen3:1451|qwen3:883|qwen3:2655|qwen3:882|qwen3:275|qwen3:1340,qwen3:1431|qwen3:2107|qwen3:1451|qwen3:2655|qwen3:275|qwen3:2624|qwen3:2895|qwen3:1714|qwen3:2646|qwen3:2637,qwen3:2589|qwen3:732|qwen3:883|qwen3:882|qwen3:1340|qwen3:1400|qwen3:1422|qwen3:1432|qwen3:1443|qwen3:1452
极高危人群在新冠感染后什么时候应该开始服用Paxlovid？,极高危人群在新冠大流行期间，一旦出现发热、咳嗽、咽痛、鼻涕等典型症状，就应考虑立即开始服用Paxlovid，而不必等到抗原或核酸检测确诊。因为奥密克戎潜伏期约2-3天，从感染到出现呼吸困难平均需8天，而Paxlovid仅对发病5天内的轻症有效，重症时已无效。,qwen3:2399,童爸育儿,2399,1,1,qwen3:2399|qwen3:2398|qwen3:501|qwen3:2392|qwen3:2481|qwen3:2400|qwen3:1653|qwen3:2395|qwen3:2394|qwen3:1652,qwen3:2399|qwen3:2398|qwen3:2481|qwen3:2400|qwen3:1653|qwen3:2394|qwen3:501|qwen3:2525|qwen3:2392|qwen3:2393,qwen3:2399|qwen3:501|qwen3:2398|qwen3:2392|qwen3:2395|qwen3:1652|qwen3:199|qwen3:2980|qwen3:1672|qwen3:2764
食物和药物之间可能发生哪些相互作用？,食物或其含有的某种营养素可能改变药物的药代动力学或药效学，药物也可能影响食物的吸收或改变患者的营养状态。这种相互作用可能导致物理、化学、生理或病理变化，有些甚至可能是致命的。,qwen3:1354,医学权威,1354,0,0,qwen3:2842|qwen3:1756|qwen3:780|qwen3:842|qwen3:2528|qwen3:33|qwen3:762|qwen3:2067|qwen3:309|qwen3:2066,qwen3:2842|qwen3:780|qwen3:2528|qwen3:762|qwen3:309|qwen3:777|qwen3:1355|qwen3:2153|qwen3:2761|qwen3:1566,qwen3:1756|qwen3:842|qwen3:33|qwen3:2067|qwen3:2066|qwen3:569|qwen3:781|qwen3:386|qwen3:2099|qwen3:1680
在2000年至2015年间批准的373个新分子实体（NMEs）中，有多少个进行了与美沙酮的药物相互作用（DDI）研究？,在2000年至2015年间批准的373个新分子实体（NMEs）中，有18个（4.8%）纳入了美沙酮的DDI研究，其中一项研究支持了两个NMEs的标签建议。,qwen3:2320,研如玉,2320,1,4,qwen3:2317|qwen3:2319|qwen3:2321|qwen3:2320|qwen3:2328|qwen3:2316|qwen3:2334|qwen3:2234|qwen3:2318|qwen3:2688,qwen3:2321|qwen3:2317|qwen3:2319|qwen3:2316|qwen3:2334|qwen3:2320|qwen3:2318|qwen3:2335|qwen3:2328|qwen3:2002,qwen3:2320|qwen3:2319|qwen3:2317|qwen3:2328|qwen3:2321|qwen3:2234|qwen3:2688|qwen3:2332|qwen3:1389|qwen3:101
他汀类药物有哪些常见不良反应？,他汀类药物常见不良反应包括恶心、呕吐、腹泻等胃肠道反应，偶见血氨基转移酶升高，罕见但严重的有肌炎、肌痛和横纹肌溶解。大多数人对他汀类药物耐受性良好，副作用通常较轻且短暂。,qwen3:2265,用药参考,2265,1,1,qwen3:2265|qwen3:2263|qwen3:208|qwen3:1631|qwen3:324|qwen3:33|qwen3:2264|qwen3:2266|qwen3:210|qwen3:2066,qwen3:2265|qwen3:2263|qwen3:2264|qwen3:2266|qwen3:210|qwen3:208|qwen3:325|qwen3:1631|qwen3:324|qwen3:1821,qwen3:208|qwen3:33|qwen3:2265|qwen3:2263|qwen3:2066|qwen3:2067|qwen3:11|qwen3:1631|qwen3:324|qwen3:328
Alendronate、Telmisartan和Chlorpropamide这三个药物被预测并验证能与哪些靶标相互作用，可能具有什么功能？,这三个药物被预测并经湿实验验证能与靶标PTGS1和PTGS2相互作用，因此可能具有抗炎症的功能。,qwen3:38,BioArt,38,1,1,qwen3:38|qwen3:740|qwen3:1680|qwen3:2857|qwen3:605|qwen3:63|qwen3:73|qwen3:93|qwen3:2764|qwen3:407,qwen3:38|qwen3:740|qwen3:2857|qwen3:63|qwen3:93|qwen3:407|qwen3:409|qwen3:183|qwen3:3142|qwen3:1728,qwen3:38|qwen3:1680|qwen3:605|qwen3:73|qwen3:2764|qwen3:1286|qwen3:74|qwen3:33|qwen3:91|qwen3:37
咪达唑仑肠胃外给药时与其他药物联用需要注意什么？,咪达唑仑肠胃外给药时应密切监测临床状况并适当管理，以防呼吸抑制和长期镇静；尤其在多次使用时应考虑减少剂量。,qwen3:1973,明湛药学,1973,1,2,qwen3:1972|qwen3:1973|qwen3:1286|qwen3:806|qwen3:853|qwen3:1036|qwen3:887|qwen3:1729|qwen3:1665|qwen3:1689,qwen3:1973|qwen3:1972|qwen3:806|qwen3:853|qwen3:887|qwen3:1665|qwen3:355|qwen3:2908|qwen3:384|qwen3:376,qwen3:1972|qwen3:1286|qwen3:1973|qwen3:1036|qwen3:1729|qwen3:1689|qwen3:1680|qwen3:1227|qwen3:603|qwen3:1240
报名参加凡默谷会议后，如何确保能收到会议链接？,提交报名表后，需添加凡默谷客服微信，并在添加时注明姓名和单位，以确保能收到会议链接。,qwen3:1157,凡默谷,1157,1,1,qwen3:1157|qwen3:1013|qwen3:1011|qwen3:1012|qwen3:1010|qwen3:1162|qwen3:1182|qwen3:1160|qwen3:1120|qwen3:3065,qwen3:1013|qwen3:1011|qwen3:1160|qwen3:1157|qwen3:3065|qwen3:3063|qwen3:1165|qwen3:1012|qwen3:1010|qwen3:1162,qwen3:1157|qwen3:1182|qwen3:1120|qwen3:1011|qwen3:1013|qwen3:3062|qwen3:1256|qwen3:1010|qwen3:1012|qwen3:1162
VEGF抑制剂引起的高血压首选什么药物治疗？,血管紧张素转换酶抑制剂（ACEI）是VEGF抑制剂诱导的高血压的一线治疗药物，主要因其具有肾脏保护作用，尤其适用于糖尿病患者。,qwen3:844,健康界心血管前线,844,1,2,qwen3:302|qwen3:844|qwen3:323|qwen3:2289|qwen3:322|qwen3:1880|qwen3:351|qwen3:2054|qwen3:2682|qwen3:2095,qwen3:302|qwen3:323|qwen3:322|qwen3:351|qwen3:2682|qwen3:832|qwen3:3019|qwen3:708|qwen3:1856|qwen3:2913,qwen3:844|qwen3:2289|qwen3:1880|qwen3:2054|qwen3:2095|qwen3:389|qwen3:2071|qwen3:1367|qwen3:1689|qwen3:847
质子泵抑制剂会影响卡培他滨的疗效吗？,是的，质子泵抑制剂可能会降低卡培他滨在治疗结直肠癌和胃食管癌中的疗效，推测原因是胃内pH升高可能抑制卡培他滨的溶解和吸收。研究显示使用质子泵抑制剂的患者无进展生存期和总生存期较未使用者更差。,qwen3:2691,药有所用,2691,1,2,qwen3:2693|qwen3:2691|qwen3:2692|qwen3:2694|qwen3:394|qwen3:393|qwen3:392|qwen3:390|qwen3:1288|qwen3:389,qwen3:2693|qwen3:2691|qwen3:2692|qwen3:390|qwen3:1288|qwen3:391|qwen3:393|qwen3:394|qwen3:2694|qwen3:392,qwen3:2691|qwen3:2693|qwen3:2694|qwen3:2692|qwen3:389|qwen3:2966|qwen3:392|qwen3:394|qwen3:2153|qwen3:393
红霉素与地高辛合用会有什么风险？,红霉素与地高辛合用会增加地高辛的血药浓度，甚至达到中毒水平，建议进行临床与心电图监测，必要时调整地高辛用量。,qwen3:2975,轻盈医学,2975,0,0,qwen3:2939|qwen3:1409|qwen3:381|qwen3:373|qwen3:1260|qwen3:1302|qwen3:270|qwen3:33|qwen3:1680|qwen3:2749,qwen3:381|qwen3:373|qwen3:2939|qwen3:1302|qwen3:1260|qwen3:1409|qwen3:270|qwen3:2975|qwen3:2779|qwen3:2799,qwen3:33|qwen3:1680|qwen3:2749|qwen3:1409|qwen3:270|qwen3:1260|qwen3:2939|qwen3:1302|qwen3:373|qwen3:381
酮康唑与H1受体拮抗剂合用会有什么风险？,酮康唑能抑制H1受体拮抗剂（如西沙比利、阿司咪唑、特非拉丁）的代谢，使其血药浓度升高，导致QT间期延长，可能在常用剂量下引发室性心动过速或心室纤颤。,qwen3:1458,医脉圈,1458,1,3,qwen3:887|qwen3:2902|qwen3:1458|qwen3:705|qwen3:2631|qwen3:1855|qwen3:2822|qwen3:2114|qwen3:2644|qwen3:282,qwen3:887|qwen3:1458|qwen3:2631|qwen3:2822|qwen3:2902|qwen3:282|qwen3:1449|qwen3:2662|qwen3:2151|qwen3:1428,qwen3:887|qwen3:705|qwen3:1855|qwen3:2114|qwen3:2644|qwen3:2653|qwen3:2883|qwen3:2893|qwen3:2902|qwen3:1808
Paxlovid适用于哪些人群？,Paxlovid适用于治疗SARS-CoV-2轻至中度成人和≥12岁、体质量≥40kg的儿童及成人患者，特别是具有较高重症风险的人群，如伴有高龄、慢性肾脏疾病、糖尿病、心血管疾病、慢性肺病等。,qwen3:2393,童爸育儿,2393,0,0,qwen3:2481|qwen3:501|qwen3:2400|qwen3:2525|qwen3:2394|qwen3:2395|qwen3:198|qwen3:2062|qwen3:2387|qwen3:234,qwen3:2481|qwen3:501|qwen3:2400|qwen3:2394|qwen3:198|qwen3:2387|qwen3:2399|qwen3:2485|qwen3:2398|qwen3:502,qwen3:2481|qwen3:501|qwen3:2525|qwen3:2395|qwen3:2062|qwen3:234|qwen3:7|qwen3:2099|qwen3:2396|qwen3:2980
阿司匹林和选择性COX-2抑制剂一起用会有什么风险？,阿司匹林与选择性COX-2抑制剂联合使用可能减少阿司匹林对心血管的保护效果，并增加血栓栓塞事件的风险，尤其在心血管疾病患者中需谨慎用药。,qwen3:1288,北京老年医院,1288,1,1,qwen3:1288|qwen3:1287|qwen3:1286|qwen3:2864|qwen3:2545|qwen3:1257|qwen3:2956|qwen3:724|qwen3:413|qwen3:414,qwen3:1288|qwen3:1287|qwen3:1286|qwen3:2545|qwen3:1257|qwen3:724|qwen3:414|qwen3:498|qwen3:3070|qwen3:2519,qwen3:1287|qwen3:1288|qwen3:2864|qwen3:1286|qwen3:2956|qwen3:413|qwen3:30|qwen3:33|qwen3:2099|qwen3:2402
酒后服用解热镇痛药为什么会增加胃出血的风险？,酒精和解热镇痛药（如阿司匹林、对乙酰氨基酚）均可促进血清胃泌素分泌，联用会导致胃泌素浓度剧增，使胃酸大量分泌，破坏胃黏膜屏障，损伤黏膜下血管，从而引发胃出血。,qwen3:3032,颐恒医考,3032,1,1,qwen3:3032|qwen3:3011|qwen3:2581|qwen3:3014|qwen3:1362|qwen3:3013|qwen3:1822|qwen3:1617|qwen3:415|qwen3:834,qwen3:2581|qwen3:3014|qwen3:3032|qwen3:3013|qwen3:1617|qwen3:3011|qwen3:2424|qwen3:3012|qwen3:2580|qwen3:1867,qwen3:3032|qwen3:3011|qwen3:1362|qwen3:1822|qwen3:415|qwen3:834|qwen3:412|qwen3:417|qwen3:2157|qwen3:766
哪些抗菌药物类别被列在检验星空的片段中？,片段中列出的抗菌药物类别包括：β-内酰胺类、氨基糖苷类、氯霉素、大环内酯类、四环素类、多粘菌素类、抗结核药、(去甲)万古霉素、甲硝唑、呋喃类、喹诺酮类、磺胺药和抗真菌药。,qwen3:2078,检验星空,2078,1,1,qwen3:2078|qwen3:1756|qwen3:1442|qwen3:842|qwen3:2999|qwen3:2066|qwen3:1930|qwen3:1680|qwen3:2996|qwen3:2488,qwen3:2078|qwen3:1442|qwen3:2999|qwen3:1930|qwen3:2996|qwen3:2827|qwen3:2995|qwen3:2809|qwen3:2663|qwen3:2811,qwen3:1756|qwen3:842|qwen3:2066|qwen3:1680|qwen3:2488|qwen3:2971|qwen3:2095|qwen3:834|qwen3:307|qwen3:2729
阿格列汀与其他药物联合使用时是否需要调整剂量？,阿格列汀既不是P糖蛋白的底物，也不是细胞色素P450酶的抑制剂或诱导剂，因此在与二甲双胍或降脂药等其他药物联合使用时，无需调整其剂量。,qwen3:471,中国医学论坛报今日内分泌,471,1,1,qwen3:471|qwen3:470|qwen3:440|qwen3:479|qwen3:451|qwen3:497|qwen3:517|qwen3:446|qwen3:498|qwen3:533,qwen3:471|qwen3:451|qwen3:517|qwen3:498|qwen3:533|qwen3:537|qwen3:440|qwen3:470|qwen3:522|qwen3:479,qwen3:470|qwen3:497|qwen3:446|qwen3:440|qwen3:471|qwen3:441|qwen3:479|qwen3:532|qwen3:495|qwen3:516
甲苯磺丁脲与哪些药物合用可能引起低血糖反应？,甲苯磺丁脲与长效磺胺类、水杨酸类、保泰松、呋塞米、氯霉素或普萘洛尔合用可能引起低血糖反应。这些药物可提高血中游离甲苯磺丁脲浓度或抑制其代谢，增强降血糖作用；其中普萘洛尔还可掩盖低血糖先兆征象，增加危险性。,qwen3:434,中国医学论坛报,434,1,5,qwen3:457|qwen3:1927|qwen3:799|qwen3:1149|qwen3:434|qwen3:2786|qwen3:1913|qwen3:1150|qwen3:2581|qwen3:585,qwen3:1927|qwen3:1149|qwen3:2786|qwen3:1150|qwen3:585|qwen3:460|qwen3:1351|qwen3:803|qwen3:2620|qwen3:457,qwen3:799|qwen3:434|qwen3:1913|qwen3:2581|qwen3:457|qwen3:748|qwen3:784|qwen3:2019|qwen3:2806|qwen3:1680
哪些抗病毒药物会通过诱导CYP2B6降低美沙酮的暴露？,替普那韦/利托那韦、洛匹那韦/利托那韦、利托那韦、依非韦伦、奈非那韦、福沙那韦、安瑞那韦、阿巴卡韦、沙奎那韦/利托那韦和利匹韦林等抗病毒药物可通过诱导CYP2B6显著降低美沙酮的暴露。,qwen3:2330,研如玉,2330,1,1,qwen3:2330|qwen3:2318|qwen3:2317|qwen3:2329|qwen3:2320|qwen3:2332|qwen3:2333|qwen3:2335|qwen3:2328|qwen3:2331,qwen3:2330|qwen3:2329|qwen3:2320|qwen3:2318|qwen3:2317|qwen3:2332|qwen3:2333|qwen3:2316|qwen3:2335|qwen3:2328,qwen3:2330|qwen3:2318|qwen3:2317|qwen3:2332|qwen3:2331|qwen3:2333|qwen3:2320|qwen3:2329|qwen3:2328|qwen3:2335
评估在研药物是否为转运体抑制剂时，应如何设置药物浓度？,药物浓度应尽可能高以使抑制作用最大化，但不应超过溶解度极限或引起细胞毒性；应使用4~6个浓度点，其中最高浓度至少比临床相关浓度高一个数量级，并根据转运体所在组织位置选择相应的临床相关浓度参考值。,qwen3:3125,驭时GCP信息,3125,0,0,qwen3:958|qwen3:1008|qwen3:131|qwen3:924|qwen3:128|qwen3:970|qwen3:1009|qwen3:3087|qwen3:921|qwen3:973,qwen3:924|qwen3:958|qwen3:1008|qwen3:1009|qwen3:131|qwen3:973|qwen3:3090|qwen3:925|qwen3:3126|qwen3:167,qwen3:958|qwen3:128|qwen3:970|qwen3:3087|qwen3:921|qwen3:923|qwen3:1008|qwen3:131|qwen3:935|qwen3:972
异烟肼与卡马西平合用会产生什么相互作用？,异烟肼的肝毒性和卡马西平的中枢神经系统抑制作用均增加。,qwen3:1706,国际肝病,1706,0,0,qwen3:2345|qwen3:1680|qwen3:1718|qwen3:1286|qwen3:2628|qwen3:2282|qwen3:2163|qwen3:33|qwen3:2880|qwen3:1689,qwen3:2345|qwen3:1718|qwen3:2628|qwen3:2163|qwen3:2880|qwen3:1425|qwen3:2470|qwen3:279|qwen3:2650|qwen3:2899,qwen3:1680|qwen3:1286|qwen3:2282|qwen3:33|qwen3:1689|qwen3:2382|qwen3:2721|qwen3:796|qwen3:2529|qwen3:2991
他莫昔芬与西咪替丁合用时是否需要调整剂量？,他莫昔芬与西咪替丁合用时无需调整剂量，但合用会使他莫昔芬AUC增加1.45倍。西咪替丁为非特异性CYP450抑制剂。,qwen3:751,临床用药评价,751,1,1,qwen3:751|qwen3:2535|qwen3:709|qwen3:720|qwen3:794|qwen3:750|qwen3:793|qwen3:1100|qwen3:721|qwen3:710,qwen3:794|qwen3:2535|qwen3:709|qwen3:720|qwen3:751|qwen3:721|qwen3:710|qwen3:2536|qwen3:2055|qwen3:2290,qwen3:751|qwen3:750|qwen3:793|qwen3:1100|qwen3:2535|qwen3:709|qwen3:720|qwen3:317|qwen3:2705|qwen3:2534
肝肾损伤如何影响药物代谢及不良反应风险？,肝肾损伤主要通过影响体内代谢酶和转运体活性，导致药物消除受阻、体内暴露增加，从而可能放大不良反应。例如，达比加群酯在肾损患者中抗凝效应持续时间延长；Asundexian在肝损患者中虽暴露量仅轻微升高，但因凝血因子合成减少而显著增加出血风险。,qwen3:1253,凡默谷,1253,1,2,qwen3:1243|qwen3:1253|qwen3:1249|qwen3:1244|qwen3:318|qwen3:1248|qwen3:2066|qwen3:1250|qwen3:834|qwen3:1246,qwen3:1253|qwen3:1249|qwen3:1243|qwen3:1248|qwen3:1250|qwen3:1246|qwen3:1597|qwen3:1245|qwen3:1252|qwen3:1573,qwen3:1243|qwen3:1244|qwen3:318|qwen3:2066|qwen3:834|qwen3:1255|qwen3:1253|qwen3:1756|qwen3:1480|qwen3:2988
体外药物相互作用研究在新药开发中的作用是什么？,体外药物相互作用研究是评估新药风险-获益的关键环节，用于确定是否需要开展临床DDI研究，并为临床DDI风险控制策略（如剂量选择、用药禁忌等）提供参考。,qwen3:1166,凡默谷,1166,1,1,qwen3:1166|qwen3:3078|qwen3:962|qwen3:1179|qwen3:2956|qwen3:1167|qwen3:2908|qwen3:2958|qwen3:30|qwen3:2959,qwen3:1179|qwen3:1166|qwen3:1167|qwen3:2958|qwen3:2959|qwen3:2362|qwen3:962|qwen3:3078|qwen3:655|qwen3:964,qwen3:1166|qwen3:2956|qwen3:2908|qwen3:30|qwen3:33|qwen3:3078|qwen3:962|qwen3:1077|qwen3:1992|qwen3:120
为什么服药期间要避免吃葡萄柚？,因为葡萄柚中的呋喃香豆素会抑制肠道CYP3A4酶，降低药物首过效应，从而显著提高某些口服药物（如非洛地平）的血浆浓度和生物利用度，可能引发不良反应。,qwen3:592,中国药房,592,0,0,qwen3:1819|qwen3:1879|qwen3:875|qwen3:2410|qwen3:876|qwen3:11|qwen3:258|qwen3:1686|qwen3:2577|qwen3:874,qwen3:875|qwen3:876|qwen3:258|qwen3:1819|qwen3:2577|qwen3:2142|qwen3:1879|qwen3:10|qwen3:2500|qwen3:591,qwen3:2410|qwen3:11|qwen3:1686|qwen3:1819|qwen3:874|qwen3:1685|qwen3:9|qwen3:1879|qwen3:2309|qwen3:2405
服用舍曲林期间能不能喝西柚汁？,服用舍曲林期间应避免饮用西柚汁，因为西柚汁可抑制CYP3A4酶，干扰药物代谢，可能增加药物浓度导致毒性反应。,qwen3:1838,广东省家庭医生协会,1838,0,0,qwen3:1841|qwen3:876|qwen3:2873|qwen3:875|qwen3:1733|qwen3:840|qwen3:1295|qwen3:220|qwen3:1655|qwen3:2764,qwen3:876|qwen3:875|qwen3:840|qwen3:1295|qwen3:1655|qwen3:1841|qwen3:2710|qwen3:1358|qwen3:257|qwen3:2719,qwen3:2873|qwen3:1733|qwen3:1841|qwen3:220|qwen3:2764|qwen3:1283|qwen3:1838|qwen3:1569|qwen3:1271|qwen3:1567
杭州市一医院互联网医院的药师咨询门诊覆盖哪些科室或人群？,杭州市一医院互联网医院的药师咨询门诊覆盖呼吸科、消化科、神经内科、心血管内科、哺乳期女性以及儿童用药咨询。,qwen3:2064,杭州市一药学部,2064,1,2,qwen3:2065|qwen3:2064|qwen3:1533|qwen3:2172|qwen3:283|qwen3:2117|qwen3:1961|qwen3:1732|qwen3:299|qwen3:1289,qwen3:2065|qwen3:2064|qwen3:1533|qwen3:283|qwen3:1961|qwen3:299|qwen3:1532|qwen3:298|qwen3:1960|qwen3:2964,qwen3:2064|qwen3:2065|qwen3:2172|qwen3:2117|qwen3:1732|qwen3:1289|qwen3:804|qwen3:1823|qwen3:2137|qwen3:820
